,SeriousDlqin2yrs,RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents
0,1,0.766126609,45,2,0.802982129,9120.0,13,0,6,0,2.0
11,1,0.964672555,40,3,0.382964747,13700.0,9,3,1,1,2.0
18,1,0.025655677,38,0,0.475841386,3000.0,7,0,1,0,2.0
22,1,0.392248482,50,0,1.595253368,4676.0,14,0,3,0,1.0
46,1,0.728150491,31,0,0.824725092,3000.0,10,0,2,0,1.0
65,1,0.13306279,49,1,0.182881653,10257.0,9,0,2,0,3.0
78,1,0.734477501,45,0,0.591477634,4716.0,13,0,2,0,2.0
140,1,1.046279103,47,1,1.104301274,5416.0,6,0,2,0,1.0
157,1,0.085338293,51,0,0.477503628,6200.0,11,0,1,0,0.0
158,1,0.0,25,0,0.152896812,2916.0,3,0,0,1,0.0
159,1,0.786485406,44,0,0.291709578,3883.0,7,2,0,2,1.0
166,1,0.025892469,38,0,74.5,1.0,13,0,0,0,2.0
192,1,1.953488372,38,0,0.153500141,3556.0,5,0,0,0,2.0
204,1,0.973339258,61,1,0.209961825,5500.0,11,0,0,1,1.0
214,1,1.048210842,58,7,0.151956584,3500.0,12,0,0,0,0.0
235,1,0.220823719,46,1,0.637749121,1705.0,5,0,0,0,0.0
289,1,0.03719769,47,0,0.03975841,25000.0,11,0,1,0,3.0
299,1,0.880370887,43,0,0.461323764,7523.0,6,0,1,0,1.0
303,1,0.635720859,68,1,0.218071277,25000.0,27,0,3,0,0.0
321,1,0.739146488,63,1,0.285156885,6150.0,12,0,0,0,1.0
354,1,0.733885463,49,2,0.369223765,8785.0,20,0,2,0,2.0
357,1,0.991502124,61,10,1.2979007,3000.0,11,2,3,5,1.0
395,1,0.9999999,32,0,0.006731051,3416.0,1,0,0,0,3.0
396,1,0.57985084,42,0,0.594224361,2700.0,8,0,0,0,0.0
429,1,0.9999999,54,0,0.228402866,2372.0,2,0,0,1,0.0
436,1,0.913140498,37,2,1.620344914,4000.0,16,0,3,0,1.0
441,1,0.814154511,50,1,0.297139683,3600.0,8,0,1,1,1.0
448,1,0.640058527,39,0,0.055984556,9841.0,9,0,0,0,2.0
453,1,0.955545894,52,1,0.524949909,10480.0,11,0,3,0,1.0
480,1,0.339503567,89,1,0.549380248,2500.0,9,3,0,1,0.0
500,1,0.517045364,61,0,0.572590321,7500.0,20,0,2,0,0.0
503,1,0.387065977,51,0,0.350874186,5833.0,12,0,1,2,1.0
541,1,0.402345742,37,0,0.337622356,12667.0,16,0,2,0,3.0
549,1,0.314685703,51,3,0.160317928,16984.0,13,0,2,1,4.0
550,1,0.149314411,36,0,0.558320373,4500.0,9,0,3,0,0.0
560,1,1.248751249,33,0,0.175120326,2700.0,3,2,0,0,0.0
574,1,0.990764426,36,2,0.361340457,4117.0,4,0,0,0,1.0
586,1,2066.0,58,0,0.27112148,6000.0,8,1,1,0,1.0
623,1,0.987668722,39,5,0.691279186,5010.0,14,0,2,0,2.0
640,1,0.02331266,58,0,0.632371083,4052.0,13,1,2,0,0.0
648,1,0.0,32,0,0.44187375,3500.0,5,0,1,0,2.0
666,1,1.25748503,26,0,0.129805014,1794.0,1,2,0,1,0.0
672,1,0.962946947,50,0,0.68127587,4106.0,8,0,1,1,0.0
711,1,0.778719498,81,0,0.53801306,4287.0,11,0,2,0,0.0
759,1,0.514353049,39,0,0.984408835,2308.0,15,0,1,0,1.0
777,1,0.913773615,55,2,0.881655429,4300.0,17,0,2,0,1.0
793,1,1.004421666,48,3,0.605098725,4000.0,10,0,2,0,1.0
809,1,0.878245498,40,0,0.18141723,3400.0,5,0,0,0,1.0
832,1,0.017558727,47,0,0.53540175,2513.0,10,1,1,0,0.0
841,1,0.546513871,35,0,0.93824256,8500.0,17,0,4,0,2.0
853,1,0.829560586,34,1,0.248187953,4000.0,6,0,1,0,2.0
860,1,0.232226657,59,6,6.094452774,2000.0,16,2,1,2,1.0
